customer_id,age,tenure_months,monthly_charges,contract_type,internet_service,paperless_billing,tech_support,churn
C0001,23,45,67.75,Month-to-month,DSL,Yes,No,Yes
C0002,62,57,96.14,Month-to-month,DSL,No,No,Yes
C0003,55,54,110.33,One year,Fiber optic,No,Yes,No
C0004,43,10,92.07,One year,DSL,No,No,Yes
C0005,43,60,116.32,Month-to-month,DSL,No,Yes,No
C0006,67,39,98.2,Month-to-month,DSL,Yes,No,Yes
C0007,22,24,106.68,One year,Fiber optic,Yes,No,Yes
C0008,58,38,31.41,Month-to-month,Fiber optic,Yes,Yes,Yes
C0009,29,70,93.24,Month-to-month,Fiber optic,Yes,Yes,Yes
C0010,23,62,64.01,Month-to-month,Fiber optic,No,No,Yes
C0011,48,61,75.31,One year,Fiber optic,Yes,Yes,No
C0012,74,34,85.41,One year,Fiber optic,No,No,Yes
C0013,60,57,116.98,Month-to-month,DSL,Yes,No,No
C0014,62,28,118.46,Month-to-month,Fiber optic,Yes,No,No
C0015,59,50,48.82,Month-to-month,DSL,Yes,Yes,No
C0016,63,47,93.38,Month-to-month,DSL,Yes,No,No
C0017,47,18,95.0,Month-to-month,DSL,Yes,No,Yes
C0018,25,20,54.65,Month-to-month,Fiber optic,Yes,Yes,Yes
C0019,66,5,32.39,One year,Fiber optic,Yes,Yes,Yes
C0020,44,11,24.09,Month-to-month,DSL,No,Yes,No
C0021,47,32,97.73,Month-to-month,No,Yes,No,No
C0022,39,35,68.97,Month-to-month,Fiber optic,Yes,No,Yes
C0023,28,12,118.55,Two year,DSL,No,No,No
C0024,71,31,66.5,One year,DSL,Yes,No,No
C0025,63,44,117.79,Month-to-month,DSL,No,Yes,No
C0026,55,17,61.16,Two year,Fiber optic,No,Yes,No
C0027,41,25,99.37,Month-to-month,Fiber optic,Yes,Yes,No
C0028,65,27,28.48,Month-to-month,Fiber optic,Yes,No,No
C0029,49,37,75.55,Two year,No,Yes,No,No
C0030,43,27,100.21,Month-to-month,Fiber optic,No,Yes,Yes
C0031,44,54,112.47,Month-to-month,Fiber optic,No,No,Yes
C0032,31,24,102.26,One year,No,Yes,Yes,No
C0033,23,32,23.7,Month-to-month,Fiber optic,Yes,Yes,No
C0034,50,28,57.27,One year,Fiber optic,Yes,Yes,No
C0035,69,14,24.87,Month-to-month,Fiber optic,Yes,No,No
C0036,21,50,30.93,Month-to-month,Fiber optic,No,No,Yes
C0037,67,17,87.53,Month-to-month,Fiber optic,Yes,No,No
C0038,66,22,91.33,Month-to-month,Fiber optic,Yes,Yes,Yes
C0039,34,58,97.37,Month-to-month,DSL,Yes,Yes,No
C0040,54,69,106.55,Month-to-month,DSL,No,No,No
C0041,27,49,93.94,Two year,Fiber optic,No,Yes,No
C0042,61,66,100.09,Month-to-month,DSL,Yes,No,Yes
C0043,58,62,24.9,Month-to-month,Fiber optic,Yes,No,No
C0044,38,35,43.45,Month-to-month,No,Yes,No,Yes
C0045,21,56,82.19,Month-to-month,Fiber optic,Yes,No,Yes
C0046,74,24,105.81,Month-to-month,DSL,Yes,No,No
C0047,43,34,20.45,One year,Fiber optic,Yes,No,No
C0048,69,39,71.46,Month-to-month,DSL,Yes,No,Yes
C0049,57,70,87.73,Two year,Fiber optic,Yes,No,Yes
C0050,63,62,22.96,Two year,DSL,Yes,Yes,No
C0051,62,36,60.14,Month-to-month,Fiber optic,Yes,No,Yes
C0052,29,47,109.56,Month-to-month,No,No,Yes,Yes
C0053,39,15,87.16,Month-to-month,Fiber optic,Yes,No,Yes
C0054,45,58,43.77,One year,DSL,No,No,No
C0055,46,40,105.28,Month-to-month,DSL,Yes,No,Yes
C0056,20,39,54.8,Two year,No,Yes,No,Yes
C0057,49,56,105.33,One year,Fiber optic,Yes,No,Yes
C0058,26,46,49.89,One year,Fiber optic,Yes,Yes,No
C0059,61,6,79.03,Month-to-month,Fiber optic,Yes,Yes,No
C0060,57,21,59.69,Two year,Fiber optic,Yes,Yes,Yes
C0061,71,13,47.48,Month-to-month,DSL,No,No,Yes
C0062,61,53,108.66,Month-to-month,No,Yes,No,No
C0063,39,3,38.76,Month-to-month,No,Yes,Yes,No
C0064,74,15,28.48,Two year,DSL,Yes,No,No
C0065,41,44,54.19,Month-to-month,DSL,Yes,Yes,Yes
C0066,36,51,91.76,One year,DSL,No,No,No
C0067,70,37,100.74,Month-to-month,No,No,No,Yes
C0068,39,62,119.87,Two year,Fiber optic,Yes,Yes,Yes
